Station,Date,Range,HH,HHDate,LL,LLDate,Tide Stage,Tide Stage Fitted
8665530,2005-04-19T16:10:00,3.757,4.772,2005-04-19 08:36:00.0,1.015,2005-04-19 02:36:00.0,2000,2000
8665530,2005-04-19T16:25:00,3.757,4.772,2005-04-19 08:36:00.0,1.015,2005-04-19 02:36:00.0,2000,2000
8665530,2005-05-03T15:49:00,5.21,5.776,2005-05-03 08:24:00.0,0.566,2005-05-03 02:12:00.0,2000,2000
8665530,2005-05-03T15:59:00,5.496,5.776,2005-05-03 08:24:00.0,0.28,2005-05-03 14:42:00.0,2000,2000
8665530,2005-05-17T16:48:00,4.022,4.791,2005-05-17 06:54:00.0,0.769,2005-05-17 13:00:00.0,2200,2200
8665530,2005-05-17T16:58:00,4.022,4.791,2005-05-17 06:54:00.0,0.769,2005-05-17 13:00:00.0,2200,2200
8665530,2005-05-18T18:43:00,4.022,5.103,2005-05-18 07:30:00.0,1.081,2005-05-18 13:54:00.0,2200,2200
8665530,2005-06-06T14:38:00,6.125,6.143,2005-06-05 23:54:00.0,0.018,2005-06-05 17:24:00.0,4100,4100
8665530,2005-06-06T14:46:00,6.125,6.143,2005-06-05 23:54:00.0,0.018,2005-06-05 17:24:00.0,4100,4100
8665530,2005-06-21T17:44:00,6.515,7.081,2005-06-20 23:42:00.0,0.566,2005-06-21 06:12:00.0,,4300
8665530,2005-06-21T17:57:00,6.515,7.081,2005-06-20 23:42:00.0,0.566,2005-06-21 06:12:00.0,,
8665530,2005-07-11T17:33:00,5.102,5.681,2005-07-11 03:24:00.0,0.579,2005-07-11 09:36:00.0,4100,4100
8665530,2005-07-11T17:40:00,5.102,5.681,2005-07-11 03:24:00.0,0.579,2005-07-11 09:36:00.0,4100,4100
8665530,2005-07-25T15:37:00,7.011,6.793,2005-07-25 03:54:00.0,-0.218,2005-07-25 10:06:00.0,2300,2300
8665530,2005-07-25T15:47:00,7.011,6.793,2005-07-25 03:54:00.0,-0.218,2005-07-25 10:06:00.0,2300,2300
8665530,2005-08-09T16:27:00,4.932,5.599,2005-08-09 02:48:00.0,0.667,2005-08-08 20:48:00.0,4000,4000
8665530,2005-08-09T16:45:00,4.932,5.599,2005-08-09 02:48:00.0,0.667,2005-08-08 20:48:00.0,4000,4000
8665530,2005-08-22T17:51:00,7.152,6.655,2005-08-22 02:30:00.0,-0.497,2005-08-22 08:36:00.0,4100,4100
8665530,2005-08-22T17:58:00,7.152,6.655,2005-08-22 02:30:00.0,-0.497,2005-08-22 08:36:00.0,4200,4200
8665530,2006-04-19T16:11:00,5.171,5.93,2006-04-19 04:24:00.0,0.759,2006-04-19 11:06:00.0,2300,2300
8665530,2006-04-19T16:23:00,5.171,5.93,2006-04-19 04:24:00.0,0.759,2006-04-19 11:06:00.0,2300,2300
8665530,2006-05-09T15:36:00,4.337,5.451,2006-05-08 21:36:00.0,1.114,2006-05-09 04:00:00.0,4300,4300
8665530,2006-05-09T15:47:00,4.337,5.451,2006-05-08 21:36:00.0,1.114,2006-05-09 04:00:00.0,4300,4300
8665530,2006-05-24T14:48:00,6.729,6.543,2006-05-23 21:42:00.0,-0.186,2006-05-23 15:18:00.0,4300,4300
8665530,2006-05-24T14:56:00,6.729,6.543,2006-05-23 21:42:00.0,-0.186,2006-05-23 15:18:00.0,4300,4300
8665530,2006-06-20T14:30:00,5.446,5.595,2006-06-19 19:18:00.0,0.149,2006-06-20 01:42:00.0,2000,2000
8665530,2006-06-20T14:42:00,5.446,5.595,2006-06-19 19:18:00.0,0.149,2006-06-20 01:42:00.0,2000,2000
8665530,2006-07-11T15:13:00,6.792,6.265,2006-07-11 00:18:00.0,-0.527,2006-07-10 17:42:00.0,4100,4100
8665530,2006-07-11T15:40:00,6.792,6.265,2006-07-11 00:18:00.0,-0.527,2006-07-10 17:42:00.0,4200,4200
8665530,2006-07-25T16:10:00,6.165,5.553,2006-07-25 00:12:00.0,-0.612,2006-07-24 17:54:00.0,4200,4200
