autonumber,station_name,station_desc,sample_datetime,sample_datetime_utc,weights,enterococcus_value,tide_range_8665530,tide_hi_8665530,tide_lo_8665530,tide_stage_8665530,tide_range_TEC3127,tide_hi_TEC3127,tide_lo_TEC3127,moon_percent_illumination,moon_phase_angle,carocoops_CAP2_buoy_avg_salinity,carocoops_CAP2_buoy_avg_water_temperature,carocoops_FRP2_buoy_avg_salinity,carocoops_FRP2_buoy_avg_water_temperature,folly_creek_nexrad_summary_24,folly_creek_nexrad_summary_48,folly_creek_nexrad_summary_72,folly_creek_nexrad_summary_96,folly_creek_nexrad_summary_120,folly_creek_nexrad_summary_144,folly_creek_nexrad_summary_168,folly_creek_nexrad_summary_192,folly_creek_nexrad_dry_days_count,folly_creek_nexrad_rainfall_intensity,folly_creek_nexrad_total_1_day_delay,folly_creek_nexrad_total_2_day_delay,folly_creek_nexrad_total_3_day_delay,atlantic_nexrad_summary_24,atlantic_nexrad_summary_48,atlantic_nexrad_summary_72,atlantic_nexrad_summary_96,atlantic_nexrad_summary_120,atlantic_nexrad_summary_144,atlantic_nexrad_summary_168,atlantic_nexrad_summary_192,atlantic_nexrad_dry_days_count,atlantic_nexrad_rainfall_intensity,atlantic_nexrad_total_1_day_delay,atlantic_nexrad_total_2_day_delay,atlantic_nexrad_total_3_day_delay
1,TRI-065,3rd Ave,2005-04-19 12:25:00-04:00,2005-04-19 16:25:00+00:00,0.1,10,3.757,4.772,1.015,2000,3.66156,4.67656,1.015,0.721032772,63.76425453,,,,,0,0,0,0,0,0.898749373,1.021265137,1.021265137,5,0,0,0,0,0,0,0,0,0,0.456980065,0.76406901,0.76406901,5,0,0,0,0
2,TRI-065,3rd Ave,2005-05-03 11:59:00-04:00,2005-05-03 15:59:00+00:00,0.1,10,5.496,5.776,0.28,2000,5.38048,5.66048,0.28,0.308225484,112.5536918,,,,,0,0,0.01836916,0.01836916,0.01836916,0.01836916,0.048170135,0.128165524,2,0,0,0.01836916,0,0,0,0.027503971,0.027503971,0.027503971,0.027503971,0.075281506,0.140921947,2,0,0,0.027503971,0
3,TRI-065,3rd Ave,2005-05-17 12:58:00-04:00,2005-05-17 16:58:00+00:00,1,20,4.022,4.791,0.769,2200,3.92618,4.69518,0.769,0.561283468,82.95972894,,,,,0.213532302,0.292794521,0.292794521,0.292794521,0.292794521,0.292794521,0.293864057,0.293864057,0,0.009039529,0.079262219,0,0,0.140374328,0.211824966,0.211824966,0.211824966,0.211824966,0.211824966,0.213289897,0.213289897,0,0.006602789,0.071450639,0,0
4,TRI-065,3rd Ave,2005-06-06 10:46:00-04:00,2005-06-06 14:46:00+00:00,0.1,10,6.125,6.143,0.018,4100,6.00214,6.02014,0.018,0.009333146,168.9122216,,,,,0.07590087,0.076018537,0.37960336,0.507944014,0.83990153,1.687339076,1.696894671,2.181507174,0,0.00642627,0.000117668,0.303584823,0.128340654,0.008676593,0.008742251,0.254766643,0.396357312,0.859857138,1.597721148,1.599172951,1.859062746,0,0.000612181,6.57E-05,0.246024392,0.141590669
5,TRI-065,3rd Ave,2005-06-21 13:44:00-04:00,2005-06-21 17:44:00+00:00,0.1,10,6.515,7.081,0.566,,6.37338,6.93938,0.566,0.978713472,16.77868728,,,,,0,0.86538459,1.333799081,1.431302465,1.431302465,1.431302465,1.431302465,1.431302465,1,0,0.86538459,0.468414491,0.097503384,0,0.418729131,0.938367903,1.183093108,1.183093108,1.183093108,1.183093108,1.183093108,1,0,0.418729131,0.519638772,0.244725205
6,TRI-065,3rd Ave,2005-07-11 13:40:00-04:00,2005-07-11 17:40:00+00:00,0.1,10,5.102,5.681,0.579,4100,4.98838,5.56738,0.579,0.173973744,130.6965318,,,,,0.014686807,0.103347446,0.162723134,0.210919502,0.210919502,0.402856021,0.402856021,0.96228848,0,0.00207247,0.088660639,0.059375689,0.048196367,0.023360838,0.117619868,0.140030264,0.262017278,0.262017278,0.366527143,0.366527143,0.824717993,0,0.002472354,0.09425903,0.022410396,0.121987014
7,TRI-065,3rd Ave,2005-07-25 11:47:00-04:00,2005-07-25 15:47:00+00:00,0.1,10,7.011,6.793,-0.218,2300,6.87514,6.65714,-0.218,0.823017329,49.75670503,,,,,0,0,0.202251849,0.202251849,0.202251849,0.202251849,0.202251849,0.202251849,2,0,0,0.202251849,0,0,0,0.14168695,0.14168695,0.14168695,0.14168695,0.14168695,0.14168695,2,0,0,0.14168695,0
8,TRI-065,3rd Ave,2005-08-09 12:45:00-04:00,2005-08-09 16:45:00+00:00,0.1,10,4.932,5.599,0.667,4000,4.82002,5.48702,0.667,0.131424853,137.4892268,,,,,0.229963246,1.001955237,1.242526829,1.389699774,1.389699774,1.389699774,1.399121085,1.434054717,0,0.012168882,0.771991991,0.240571592,0.147172945,0.184562952,0.719848869,0.899192598,1.307368427,1.307368427,1.307368427,1.313675327,1.350123965,0,0.007102873,0.535285916,0.179343729,0.40817583
9,TRI-065,3rd Ave,2005-08-22 13:58:00-04:00,2005-08-22 17:58:00+00:00,0.1,10,7.152,6.655,-0.497,4200,7.0189,6.5219,-0.497,0.92624109,31.51731979,,,,,0.016765582,0.016765582,0.033991828,0.129287175,0.601439632,0.601439632,0.629359197,0.731182874,0,0.003548713,0,0.017226245,0.095295347,0,0,0.027795085,0.493227027,0.920590811,0.920590811,0.92603996,0.937404225,2,0,0,0.027795085,0.465431942
10,TRI-065,3rd Ave,2006-04-19 12:23:00-04:00,2006-04-19 16:23:00+00:00,0.1,10,5.171,5.93,0.759,2300,5.0524,5.8114,0.759,0.729179683,62.71870906,33.428325,18.84471667,33.02233333,18.70019167,0.003568759,0.127877192,0.127877192,0.127877192,0.127877192,0.127877192,0.127877192,0.127877192,0,0.000755387,0.124308432,0,0,0.000636031,0.104424683,0.104424683,0.104424683,0.104424683,0.104424683,0.104424683,0.104424683,0,0.000269253,0.103788652,0,0
