Station,Date,Value
TRI-065,2005-04-19T16:25:00Z,10.00
TRI-065,2005-05-03T15:59:00Z,10.00
TRI-065,2005-05-17T16:58:00Z,20.00
TRI-065,2005-06-06T14:46:00Z,10.00
TRI-065,2005-06-21T17:44:00Z,10.00
TRI-065,2005-07-11T17:40:00Z,10.00
TRI-065,2005-07-25T15:47:00Z,10.00
TRI-065,2005-08-09T16:45:00Z,10.00
TRI-065,2005-08-22T17:58:00Z,10.00
TRI-065,2006-04-19T16:23:00Z,10.00
TRI-065,2006-05-09T15:36:00Z,10.00
TRI-065,2006-05-24T14:56:00Z,10.00
TRI-065,2006-06-20T14:42:00Z,10.00
TRI-065,2006-07-11T15:13:00Z,10.00
TRI-065,2006-07-25T16:22:00Z,30.00
TRI-065,2006-08-08T17:40:00Z,10.00
TRI-065,2006-10-03T17:14:00Z,10.00
TRI-065,2007-05-14T17:05:00Z,10.00
TRI-065,2007-05-21T17:44:00Z,10.00
TRI-065,2007-06-05T16:39:00Z,10.00
TRI-065,2007-06-18T17:12:00Z,10.00
TRI-065,2007-07-10T16:45:00Z,10.00
TRI-065,2007-07-24T17:31:00Z,97.00
TRI-065,2007-08-06T17:23:00Z,10.00
TRI-065,2007-08-20T16:10:00Z,10.00
TRI-065,2007-09-11T15:50:00Z,10.00
TRI-065,2007-09-25T16:03:00Z,10.00
TRI-065,2007-10-08T17:25:00Z,10.00
TRI-065,2008-04-21T18:12:00Z,10.00
TRI-065,2008-05-13T15:34:00Z,10.00
TRI-065,2008-05-20T16:05:00Z,10.00
TRI-065,2008-06-04T16:02:00Z,10.00
TRI-065,2008-06-17T15:40:00Z,10.00
TRI-065,2008-07-09T14:33:00Z,10.00
TRI-065,2008-07-09T14:49:00Z,10.00
TRI-065,2008-07-22T14:37:00Z,10.00
TRI-065,2008-08-12T14:58:00Z,20.00
TRI-065,2008-08-26T15:50:00Z,10.00
TRI-065,2008-09-09T17:28:00Z,10.00
TRI-065,2008-09-30T14:19:00Z,10.00
TRI-065,2008-10-07T14:50:00Z,20.00
TRI-065,2009-05-06T15:14:00Z,10.00
TRI-065,2009-05-26T15:04:00Z,10.00
TRI-065,2009-06-03T15:29:00Z,10.00
TRI-065,2009-06-17T15:04:00Z,10.00
TRI-065,2009-07-07T14:52:00Z,10.00
TRI-065,2009-07-21T15:12:00Z,10.00
TRI-065,2009-08-05T15:51:00Z,10.00
TRI-065,2009-08-18T15:30:00Z,10.00
TRI-065,2009-09-02T15:14:00Z,10.00
TRI-065,2009-09-15T15:21:00Z,10.00
TRI-065,2009-10-14T14:52:00Z,10.00
TRI-065,2010-04-20T14:40:00Z,10.00
TRI-065,2010-05-04T15:40:00Z,10.00
TRI-065,2010-05-18T15:15:00Z,10.00
TRI-065,2010-06-15T14:45:00Z,10.00
TRI-065,2010-06-22T14:30:00Z,10.00
TRI-065,2010-07-13T14:16:00Z,10.00
TRI-065,2010-07-28T14:50:00Z,10.00
TRI-065,2010-08-10T15:59:00Z,10.00
TRI-065,2010-08-25T14:51:00Z,10.00
TRI-065,2010-09-01T14:10:00Z,10.00
TRI-065,2010-09-22T14:30:00Z,10.00
TRI-065,2010-10-13T14:59:00Z,10.00
TRI-065,2011-05-04T15:41:00Z,10.00
TRI-065,2011-05-18T15:51:00Z,10.00
TRI-065,2011-06-08T15:10:00Z,10.00
TRI-065,2011-06-22T15:49:00Z,10.00
TRI-065,2011-07-13T15:05:00Z,10.00
TRI-065,2011-07-27T14:41:00Z,31.00
TRI-065,2011-08-09T15:00:00Z,10.00
